起始时刻,结束时刻,记录数,原始开始索引,原始结束索引,总秒数,怠速秒数,加速秒数,匀速秒数,减速秒数
2017-11-03 09:07:31,2017-11-03 09:09:21,111,10395,10505,111,4,43,28,36
2017-11-03 09:09:21,2017-11-03 09:16:18,372,10505,10876,372,8,130,115,119
2017-11-03 09:16:18,2017-11-03 09:18:33,110,10876,10985,110,10,46,9,45
2017-11-03 09:21:39,2017-11-03 09:28:04,245,11169,11413,245,6,112,45,82
2017-11-03 09:28:10,2017-11-03 09:29:42,93,11419,11511,93,17,4,67,5
2017-11-03 09:29:42,2017-11-03 09:32:28,149,11511,11659,149,19,47,23,60
2017-11-03 09:33:20,2017-11-03 09:39:04,321,11711,12031,321,2,129,76,114
2017-11-03 10:07:50,2017-11-03 10:08:12,23,12405,12427,23,10,5,3,5
2017-11-03 12:36:53,2017-11-03 12:39:38,166,12449,12614,166,16,55,44,51
2017-11-03 17:38:10,2017-11-03 17:40:25,136,13350,13485,136,5,42,52,37
2017-11-03 18:40:19,2017-11-03 18:40:50,32,13507,13538,32,22,1,7,2
2017-11-03 18:40:50,2017-11-03 18:41:50,59,13538,13596,59,8,5,33,13
2017-11-03 18:41:56,2017-11-03 18:58:25,948,13602,14549,948,4,323,344,277
2017-11-03 18:58:25,2017-11-03 19:03:01,277,14549,14825,277,24,95,82,76
2017-11-03 19:03:01,2017-11-03 19:12:05,374,14825,15198,374,40,129,99,106
2017-11-03 19:12:05,2017-11-03 19:14:06,85,15198,15282,85,58,20,4,3
2017-11-03 19:14:06,2017-11-03 19:18:10,245,15282,15526,245,5,96,65,79
2017-11-03 19:18:10,2017-11-03 19:24:30,381,15526,15906,381,55,135,84,107
2017-11-03 19:24:30,2017-11-03 19:30:29,360,15906,16265,360,87,101,74,98
2017-11-03 19:31:15,2017-11-03 19:33:15,121,16311,16431,121,5,46,28,42
2017-11-03 19:33:15,2017-11-03 19:36:24,190,16431,16620,190,44,62,37,47
2017-11-03 19:41:37,2017-11-03 19:44:01,79,16657,16735,79,1,18,38,22
2017-11-03 19:44:01,2017-11-03 19:44:54,38,16735,16772,38,12,6,10,10
2017-11-03 19:44:54,2017-11-03 19:45:50,37,16772,16808,37,3,11,5,18
2017-11-03 19:47:06,2017-11-03 19:51:54,255,16845,17099,255,45,85,52,73
2017-11-03 19:51:54,2017-11-03 19:54:34,161,17099,17259,161,8,49,62,42
2017-11-03 19:54:55,2017-11-03 19:55:57,63,17280,17342,63,6,24,8,25
2017-11-03 19:55:57,2017-11-03 19:56:36,40,17342,17381,40,16,10,6,8
2017-11-03 19:56:36,2017-11-03 20:05:26,531,17381,17911,531,10,212,127,182
2017-11-03 20:05:26,2017-11-03 20:07:51,146,17911,18056,146,27,40,33,46
2017-11-03 20:07:51,2017-11-03 20:09:30,100,18056,18155,100,75,9,2,14
2017-11-03 20:09:30,2017-11-03 20:11:06,97,18155,18251,97,6,41,17,33
2017-11-03 20:11:06,2017-11-03 20:11:39,34,18251,18284,34,2,17,9,6
2017-11-03 20:11:39,2017-11-03 20:15:18,219,18284,18502,219,3,87,53,76
2017-11-03 20:15:18,2017-11-03 20:20:29,309,18502,18810,309,7,123,88,91
2017-11-03 20:59:49,2017-11-03 21:06:45,337,18933,19269,337,39,126,96,76
2017-11-03 21:06:45,2017-11-03 21:09:03,139,19269,19407,139,61,37,9,32
2017-11-03 21:09:03,2017-11-03 21:13:09,247,19407,19653,247,38,88,43,78
2017-11-03 21:13:09,2017-11-03 21:15:40,152,19653,19804,152,70,33,23,26
2017-11-03 21:15:58,2017-11-03 21:23:09,432,19822,20253,432,10,157,124,141
2017-11-03 21:23:09,2017-11-03 21:23:30,22,20253,20274,22,7,5,4,6
2017-11-03 21:23:37,2017-11-03 21:24:07,31,20281,20311,31,6,10,5,10
2017-11-03 21:24:07,2017-11-03 21:29:59,70,20311,20380,70,5,25,14,26
2017-11-03 21:32:32,2017-11-03 21:33:49,78,20533,20610,78,18,27,10,23
2017-11-03 21:33:49,2017-11-03 21:43:27,579,20610,21188,579,20,225,155,179
2017-11-03 21:43:48,2017-11-03 21:46:52,185,21209,21393,185,49,62,26,48
2017-11-03 21:46:52,2017-11-03 21:48:31,100,21393,21492,100,7,31,31,31
2017-11-03 21:48:46,2017-11-03 21:49:36,51,21507,21557,51,12,13,11,15
2017-11-03 21:50:05,2017-11-03 21:51:05,61,21586,21646,61,18,19,7,17
2017-11-03 21:51:05,2017-11-03 21:51:37,33,21646,21678,33,9,13,2,9
2017-11-03 21:51:37,2017-11-03 21:53:43,127,21678,21804,127,32,38,14,43
2017-11-03 21:53:43,2017-11-03 21:54:40,58,21804,21861,58,15,15,19,9
2017-11-03 21:54:45,2017-11-03 21:58:03,199,21866,22064,199,3,74,66,56
2017-11-03 21:58:03,2017-11-03 21:59:07,65,22064,22128,65,2,26,16,21
2017-11-03 21:59:11,2017-11-03 22:00:40,90,22132,22221,90,5,32,24,29
2017-11-03 22:00:40,2017-11-03 22:04:44,245,22221,22465,245,8,89,59,89
2017-11-03 22:04:44,2017-11-03 22:07:13,150,22465,22614,150,107,22,6,15
2017-11-03 22:07:13,2017-11-03 22:08:55,103,22614,22716,103,10,39,15,39
2017-11-03 22:08:55,2017-11-03 22:11:13,137,22716,22852,137,53,27,26,31
2017-11-03 22:11:35,2017-11-03 22:12:02,28,22874,22901,28,5,11,6,6
2017-11-03 22:12:02,2017-11-03 22:13:56,115,22901,23015,115,6,44,27,38
2017-11-03 22:13:56,2017-11-03 22:14:23,28,23015,23042,28,22,1,2,3
2017-11-03 22:14:38,2017-11-03 22:15:42,65,23057,23121,65,3,23,18,21
2017-11-03 22:15:42,2017-11-03 22:16:50,69,23121,23189,69,8,19,15,27
2017-11-03 22:16:50,2017-11-03 22:19:15,146,23189,23334,146,77,29,25,15
2017-11-03 22:19:15,2017-11-03 22:21:10,116,23334,23449,116,71,24,9,12
2017-11-03 22:21:17,2017-11-03 22:24:44,208,23456,23663,208,28,73,39,68
2017-11-03 22:24:44,2017-11-03 22:25:21,38,23663,23700,38,15,12,3,8
2017-11-03 22:25:21,2017-11-03 22:27:25,125,23700,23824,125,69,24,7,25
2017-11-03 22:27:25,2017-11-03 22:28:19,55,23824,23878,55,25,13,12,5
2017-11-03 22:28:19,2017-11-03 22:31:13,175,23878,24052,175,6,60,54,55
2017-11-03 22:31:35,2017-11-03 22:37:36,362,24074,24435,362,15,132,118,97
2017-11-03 22:37:36,2017-11-03 22:38:09,34,24435,24468,34,8,13,4,9
2017-11-03 22:38:09,2017-11-03 22:39:28,80,24468,24547,80,2,22,20,36
2017-11-03 22:39:28,2017-11-03 22:48:13,515,24547,25061,515,21,162,161,171
2017-11-03 22:48:33,2017-11-03 22:48:59,27,25081,25107,27,5,6,10,6
2017-11-03 22:48:59,2017-11-03 22:50:16,74,25107,25180,74,2,25,19,28
2017-11-03 22:50:43,2017-11-03 22:53:04,52,25203,25254,52,8,18,12,14
2017-11-03 22:54:25,2017-11-03 22:55:12,48,25335,25382,48,38,1,7,2
2017-11-03 22:55:12,2017-11-03 22:56:12,37,25382,25418,37,14,10,3,10
2017-11-03 22:56:12,2017-11-03 23:00:26,253,25418,25670,253,176,35,19,23
2017-11-03 23:00:26,2017-11-03 23:07:55,450,25670,26119,450,29,167,100,154
2017-11-03 23:07:55,2017-11-03 23:11:49,233,26119,26351,233,69,62,62,40
2017-11-03 23:11:49,2017-11-03 23:24:00,718,26351,27068,718,2,305,208,203
2017-11-03 23:24:00,2017-11-03 23:39:23,827,27068,27894,827,16,268,262,281
2017-11-03 23:39:26,2017-11-03 23:47:57,388,27897,28284,388,6,139,127,116
2017-11-03 23:47:57,2017-11-03 23:51:11,195,28284,28478,195,8,78,49,60
2017-11-04 00:04:47,2017-11-04 00:06:08,76,28673,28748,76,59,1,15,1
2017-11-04 00:06:08,2017-11-04 00:10:24,126,28748,28873,126,48,41,11,26
2017-11-04 00:10:24,2017-11-04 00:12:03,100,28873,28972,100,23,41,15,21
2017-11-04 00:12:03,2017-11-04 00:18:35,122,28972,29093,122,76,14,12,20
2017-11-04 00:18:35,2017-11-04 00:24:05,319,29093,29411,319,37,122,78,82
2017-11-04 00:24:05,2017-11-04 00:24:27,21,29411,29431,21,12,3,0,6
2017-11-04 00:24:33,2017-11-04 00:25:00,28,29437,29464,28,2,10,5,11
2017-11-04 00:38:35,2017-11-04 00:39:26,52,29688,29739,52,39,7,1,5
2017-11-04 00:39:26,2017-11-04 00:42:02,157,29739,29895,157,10,60,40,47
2017-11-04 00:43:56,2017-11-04 00:44:34,39,30009,30047,39,14,9,8,8
2017-11-04 00:44:34,2017-11-04 00:47:07,21,30047,30067,21,4,7,1,9
2017-11-04 00:47:07,2017-11-04 00:48:13,65,30067,30131,65,5,29,16,15
2017-11-04 00:48:13,2017-11-04 00:50:29,83,30131,30213,83,21,23,14,25
2017-11-04 00:50:29,2017-11-04 00:58:38,464,30213,30676,464,36,161,126,141
2017-11-04 00:58:38,2017-11-04 01:02:22,223,30676,30898,223,34,64,48,77
2017-11-04 01:15:58,2017-11-04 01:17:58,121,30993,31113,121,14,60,15,32
2017-11-04 01:17:58,2017-11-04 01:34:27,825,31113,31937,825,63,266,268,228
2017-11-04 01:34:27,2017-11-04 01:42:40,494,31937,32430,494,25,173,147,149
2017-11-04 01:42:40,2017-11-04 01:44:38,119,32430,32548,119,54,24,15,26
2017-11-04 01:44:57,2017-11-04 01:45:29,33,32567,32599,33,4,14,6,9
2017-11-04 01:45:29,2017-11-04 01:47:03,92,32599,32690,92,39,22,10,21
2017-11-04 01:47:13,2017-11-04 01:48:10,58,32700,32757,58,6,21,14,17
2017-11-04 01:48:10,2017-11-04 01:50:09,120,32757,32876,120,11,42,24,43
2017-11-04 01:50:09,2017-11-04 01:52:04,116,32876,32991,116,40,31,19,26
2017-11-04 01:52:04,2017-11-04 01:55:26,201,32991,33191,201,3,92,36,70
2017-11-04 01:55:39,2017-11-04 01:57:04,82,33204,33285,82,7,19,35,21
2017-11-04 01:57:27,2017-11-04 01:59:55,149,33308,33456,149,114,13,8,14
2017-11-04 02:00:14,2017-11-04 02:00:55,42,33475,33516,42,10,3,27,2
2017-11-04 02:01:03,2017-11-04 02:01:32,30,33524,33553,30,3,5,16,6
2017-11-04 02:01:41,2017-11-04 02:04:54,194,33562,33755,194,13,61,60,60
2017-11-04 02:04:54,2017-11-04 02:08:15,202,33755,33956,202,2,79,51,70
2017-11-04 02:08:21,2017-11-04 02:12:20,240,33962,34201,240,4,96,70,70
2017-11-04 02:12:20,2017-11-04 02:19:55,456,34201,34656,456,37,156,128,135
2017-11-04 02:19:59,2017-11-04 02:30:15,510,34660,35169,510,8,142,200,160
2017-11-04 02:30:15,2017-11-04 02:32:43,149,35169,35317,149,64,30,25,30
2017-11-04 18:55:06,2017-11-04 18:58:04,179,36575,36753,179,9,64,46,60
2017-11-04 18:59:52,2017-11-04 19:01:11,66,36853,36918,66,2,26,12,26
2017-11-04 19:02:04,2017-11-04 19:07:30,263,36965,37227,263,4,89,75,95
2017-11-04 19:07:51,2017-11-04 19:08:54,46,37242,37287,46,1,19,7,19
2017-11-04 19:08:54,2017-11-04 19:13:06,227,37287,37513,227,5,112,40,70
2017-11-04 19:53:16,2017-11-04 19:55:07,50,37639,37688,50,24,12,7,7
2017-11-04 19:55:07,2017-11-04 20:06:26,464,37688,38151,464,10,152,116,186
2017-11-04 20:06:58,2017-11-04 20:08:57,93,38183,38275,93,16,31,21,25
2017-11-04 20:08:57,2017-11-04 20:09:58,52,38275,38326,52,6,9,11,26
2017-11-04 20:09:58,2017-11-04 20:12:20,108,38326,38433,108,8,34,19,47
2017-11-04 20:12:20,2017-11-04 20:13:53,55,38433,38487,55,4,25,7,19
2017-11-04 20:13:53,2017-11-04 20:16:42,139,38487,38625,139,5,45,31,58
2017-11-04 20:16:42,2017-11-04 20:18:13,60,38625,38684,60,7,13,10,30
2017-11-04 20:19:11,2017-11-04 20:19:38,28,38716,38743,28,2,9,9,8
2017-11-04 20:20:56,2017-11-04 20:23:22,111,38785,38895,111,1,5,93,12
2017-11-04 20:24:21,2017-11-04 20:38:44,604,38949,39552,604,83,173,146,202
2017-11-04 20:42:00,2017-11-04 20:47:46,287,39698,39984,287,5,80,98,104
2017-11-04 20:48:15,2017-11-04 20:49:24,39,40009,40047,39,2,11,14,12
2017-11-04 20:50:00,2017-11-04 20:53:24,128,40072,40199,128,4,35,30,59
2017-11-04 20:53:37,2017-11-04 20:53:58,22,40210,40231,22,17,1,1,3
2017-11-04 20:54:01,2017-11-04 20:56:19,100,40234,40333,100,15,31,12,42
2017-11-04 20:56:19,2017-11-04 20:58:32,86,40333,40418,86,5,31,15,35
2017-11-04 20:58:32,2017-11-04 20:59:02,23,40418,40440,23,14,4,3,2
2017-11-04 20:59:08,2017-11-04 21:05:49,275,40446,40720,275,26,56,145,48
2017-11-04 21:05:55,2017-11-04 21:06:42,42,40726,40767,42,8,11,9,14
2017-11-04 21:06:42,2017-11-04 21:10:06,169,40767,40935,169,2,33,57,77
2017-11-04 21:10:54,2017-11-04 21:11:23,22,40975,40996,22,8,8,3,3
2017-11-04 21:11:49,2017-11-04 21:12:19,27,41014,41040,27,13,0,11,3
2017-11-04 21:12:19,2017-11-04 21:12:51,25,41040,41064,25,13,6,1,5
2017-11-04 21:13:16,2017-11-04 21:13:57,32,41084,41115,32,8,7,8,9
2017-11-04 21:14:04,2017-11-04 21:18:13,195,41122,41316,195,4,53,63,75
2017-11-04 21:18:39,2017-11-04 21:19:32,46,41341,41386,46,7,18,5,16
2017-11-04 21:19:32,2017-11-04 21:23:43,165,41386,41550,165,8,58,34,65
2017-11-04 21:27:02,2017-11-04 21:27:36,25,41704,41728,25,3,4,16,2
2017-11-04 21:27:51,2017-11-04 21:29:57,101,41743,41843,101,2,47,35,17
2017-11-04 21:30:29,2017-11-04 21:32:42,107,41873,41979,107,26,28,21,32
2017-11-04 21:33:00,2017-11-04 21:37:35,169,41997,42165,169,5,56,59,49
2017-11-04 21:38:13,2017-11-04 21:42:21,194,42195,42388,194,3,50,77,64
2017-11-04 21:42:21,2017-11-04 21:53:36,673,42388,43060,673,33,245,190,205
2017-11-04 21:54:01,2017-11-04 21:58:12,252,43085,43336,252,26,112,46,68
2017-11-04 21:58:12,2017-11-04 22:05:02,411,43336,43746,411,12,161,117,121
2017-11-04 22:05:02,2017-11-04 22:07:53,172,43746,43917,172,2,101,17,52
2017-11-04 22:07:53,2017-11-04 22:11:07,195,43917,44111,195,2,98,38,57
2017-11-04 22:11:07,2017-11-04 22:17:17,371,44111,44481,371,44,140,92,95
2017-11-04 22:17:17,2017-11-04 22:22:28,312,44481,44792,312,13,99,97,103
2017-11-04 22:23:08,2017-11-04 22:27:28,261,44832,45092,261,3,115,48,95
2017-11-04 22:27:28,2017-11-04 22:29:46,138,45092,45229,138,90,14,17,17
2017-11-05 09:39:36,2017-11-05 09:40:02,21,45528,45548,21,5,6,4,6
2017-11-05 09:40:11,2017-11-05 09:42:21,98,45555,45652,98,1,8,77,12
2017-11-05 09:42:32,2017-11-05 09:43:28,37,45657,45693,37,2,7,21,7
2017-11-05 09:43:33,2017-11-05 09:44:32,38,45698,45735,38,16,9,4,9
2017-11-05 09:44:34,2017-11-05 09:45:17,32,45737,45768,32,10,5,14,3
2017-11-05 09:46:28,2017-11-05 09:47:01,28,45827,45854,28,15,2,10,1
2017-11-05 09:48:18,2017-11-05 09:49:16,45,45915,45959,45,7,10,16,12
2017-11-05 09:49:53,2017-11-05 09:50:44,42,45985,46026,42,25,3,8,6
2017-11-05 09:51:44,2017-11-05 09:52:11,22,46070,46091,22,3,8,4,7
2017-11-05 09:52:20,2017-11-05 09:53:08,35,46097,46131,35,2,8,10,15
2017-11-05 09:53:37,2017-11-05 09:54:16,32,46152,46183,32,2,13,4,13
2017-11-05 09:54:16,2017-11-05 09:54:50,24,46183,46206,24,0,12,2,10
2017-11-05 12:33:12,2017-11-05 12:35:04,75,46307,46381,75,3,29,22,21
2017-11-05 12:58:31,2017-11-05 13:03:04,217,46732,46948,217,3,74,63,77
2017-11-05 13:03:24,2017-11-05 13:07:07,120,46965,47084,120,2,39,30,49
2017-11-05 13:07:16,2017-11-05 13:11:12,131,47092,47222,131,5,39,24,63
2017-11-05 13:19:15,2017-11-05 13:30:38,529,47290,47818,529,3,166,190,170
2017-11-05 13:31:24,2017-11-05 13:32:16,49,47856,47904,49,10,2,35,2
2017-11-05 13:33:12,2017-11-05 13:34:49,70,47952,48021,70,0,17,36,17
2017-11-05 13:35:39,2017-11-05 13:35:59,21,48066,48086,21,4,4,7,6
2017-11-05 13:35:59,2017-11-05 13:36:49,51,48086,48136,51,6,17,16,12
2017-11-05 13:37:07,2017-11-05 13:40:14,188,48154,48341,188,5,77,43,63
2017-11-05 13:40:26,2017-11-05 13:42:12,107,48353,48459,107,53,33,2,19
2017-11-05 13:42:12,2017-11-05 13:45:27,196,48459,48654,196,74,64,20,38
2017-11-05 13:45:40,2017-11-05 13:49:23,165,48667,48831,165,4,87,18,56
2017-11-05 13:49:23,2017-11-05 13:52:34,92,48831,48922,92,13,30,18,31
2017-11-05 13:52:34,2017-11-05 13:56:32,122,48922,49043,122,6,57,16,43
2017-11-05 13:56:32,2017-11-05 13:57:31,60,49043,49102,60,7,31,5,17
2017-11-05 13:57:31,2017-11-05 13:58:11,41,49102,49142,41,5,18,4,14
2017-11-05 13:58:11,2017-11-05 14:09:22,558,49142,49699,558,34,256,112,156
2017-11-05 14:11:57,2017-11-05 14:17:15,227,49732,49958,227,41,96,34,56
2017-11-05 14:17:15,2017-11-05 14:20:33,199,49958,50156,199,12,83,39,65
2017-11-05 14:20:33,2017-11-05 14:23:49,197,50156,50352,197,131,35,8,23
2017-11-05 14:23:49,2017-11-05 14:26:36,107,50352,50458,107,36,33,11,27
2017-11-05 14:26:40,2017-11-05 14:30:54,255,50462,50716,255,34,92,39,90
2017-11-05 14:30:58,2017-11-05 14:32:51,114,50720,50833,114,43,31,14,26
2017-11-05 14:32:51,2017-11-05 14:33:39,49,50833,50881,49,7,20,10,12
2017-11-05 14:33:39,2017-11-05 14:44:28,648,50881,51528,648,112,245,109,182
2017-11-05 14:45:45,2017-11-05 14:47:08,42,51605,51646,42,8,15,5,14
2017-11-05 14:50:22,2017-11-05 14:51:37,76,51814,51889,76,2,37,11,26
2017-11-05 14:51:37,2017-11-05 14:53:45,129,51889,52017,129,13,50,17,49
2017-11-05 14:53:45,2017-11-05 15:00:15,391,52017,52407,391,67,149,45,130
2017-11-05 15:00:19,2017-11-05 15:03:09,171,52411,52581,171,82,30,20,39
2017-11-05 15:03:09,2017-11-05 15:04:12,64,52581,52644,64,9,26,8,21
2017-11-05 15:39:14,2017-11-05 15:49:12,487,52877,53363,487,62,179,109,137
2017-11-05 15:49:12,2017-11-05 15:49:33,22,53363,53384,22,8,1,8,5
2017-11-05 15:49:33,2017-11-05 15:50:39,67,53384,53450,67,3,34,10,20
2017-11-05 15:50:39,2017-11-05 15:51:33,55,53450,53504,55,8,22,7,18
2017-11-05 15:51:33,2017-11-05 16:02:28,606,53504,54109,606,3,243,135,225
2017-11-05 16:02:28,2017-11-05 16:04:11,104,54109,54212,104,58,21,5,20
2017-11-05 16:04:11,2017-11-05 16:04:55,45,54212,54256,45,8,10,13,14
2017-11-05 16:04:55,2017-11-05 16:06:12,78,54256,54333,78,29,21,9,19
2017-11-05 16:08:08,2017-11-05 16:11:57,166,54409,54574,166,3,53,56,54
2017-11-05 16:11:57,2017-11-05 16:13:00,64,54574,54637,64,22,16,10,16
2017-11-05 16:13:24,2017-11-05 16:16:50,166,54661,54826,166,88,36,15,27
2017-11-05 16:16:50,2017-11-05 16:19:10,141,54826,54966,141,71,43,7,20
2017-11-05 16:19:10,2017-11-05 16:21:19,92,54966,55057,92,37,26,9,20
2017-11-05 16:21:19,2017-11-05 16:23:25,127,55057,55183,127,11,57,20,39
2017-11-05 16:23:25,2017-11-05 16:24:49,38,55183,55220,38,24,6,2,6
2017-11-05 16:24:58,2017-11-05 16:25:30,33,55229,55261,33,8,11,4,10
2017-11-05 16:25:30,2017-11-05 16:28:29,180,55261,55440,180,6,85,20,69
2017-11-05 16:29:46,2017-11-05 16:32:30,158,55504,55661,158,7,60,45,46
2017-11-05 16:32:30,2017-11-05 16:35:01,150,55661,55810,150,112,14,7,17
2017-11-05 16:35:59,2017-11-05 16:38:44,158,55826,55983,158,17,53,23,65
2017-11-05 16:38:44,2017-11-05 16:40:22,89,55983,56071,89,6,38,12,33
2017-11-05 16:41:30,2017-11-05 16:43:45,134,56133,56266,134,8,47,33,46
2017-11-05 16:43:58,2017-11-05 16:44:29,32,56279,56310,32,3,7,14,8
2017-11-05 16:44:29,2017-11-05 16:44:54,26,56310,56335,26,8,9,5,4
2017-11-05 16:44:54,2017-11-05 16:45:43,50,56335,56384,50,5,20,8,17
2017-11-05 16:45:43,2017-11-05 16:47:27,105,56384,56488,105,28,32,15,30
2017-11-05 16:48:31,2017-11-05 16:49:35,65,56552,56616,65,13,25,10,17
2017-11-05 16:49:35,2017-11-05 16:50:17,35,56616,56650,35,24,1,9,1
2017-11-05 16:50:35,2017-11-05 16:51:45,71,56668,56738,71,14,25,13,19
2017-11-05 16:52:20,2017-11-05 16:52:44,25,56773,56797,25,5,4,11,5
2017-11-05 16:53:04,2017-11-05 16:54:40,97,56817,56913,97,2,41,32,22
2017-11-05 16:54:40,2017-11-05 16:55:42,63,56913,56975,63,15,18,9,21
2017-11-05 16:55:42,2017-11-05 16:58:53,192,56975,57166,192,85,44,24,39
2017-11-05 16:58:53,2017-11-05 17:00:40,85,57166,57250,85,33,33,8,11
2017-11-05 17:00:40,2017-11-05 17:03:35,128,57250,57377,128,8,56,19,45
2017-11-05 17:03:57,2017-11-05 17:05:57,121,57399,57519,121,20,42,22,37
2017-11-05 17:05:57,2017-11-05 17:10:23,267,57519,57785,267,34,79,82,72
2017-11-05 17:10:50,2017-11-05 17:12:09,80,57812,57891,80,3,39,17,21
2017-11-05 17:12:09,2017-11-05 17:13:44,94,57891,57984,94,2,36,18,38
2017-11-05 17:13:44,2017-11-05 17:26:51,656,57984,58639,656,17,242,184,213
2017-11-05 17:26:57,2017-11-05 17:29:14,101,58645,58745,101,2,44,22,33
2017-11-05 17:29:43,2017-11-05 17:31:01,79,58774,58852,79,3,33,14,29
2017-11-05 17:31:01,2017-11-05 17:31:26,26,58852,58877,26,5,7,3,11
2017-11-05 17:31:50,2017-11-05 17:32:24,35,58901,58935,35,18,8,0,9
2017-11-05 17:32:54,2017-11-05 17:33:19,26,58965,58990,26,4,11,2,9
2017-11-05 17:33:19,2017-11-05 17:36:28,190,58990,59179,190,56,52,30,52
2017-11-05 17:36:28,2017-11-05 17:37:42,75,59179,59253,75,55,7,3,10
2017-11-05 17:38:12,2017-11-05 17:39:28,77,59283,59359,77,54,10,3,10
2017-11-05 17:39:28,2017-11-05 17:40:07,40,59359,59398,40,31,2,6,1
2017-11-05 17:40:07,2017-11-05 17:49:13,482,59398,59879,482,16,188,123,155
2017-11-05 17:49:13,2017-11-05 17:50:26,74,59879,59952,74,23,25,8,18
2017-11-05 17:50:26,2017-11-05 17:51:54,89,59952,60040,89,32,24,9,24
2017-11-05 17:52:04,2017-11-05 17:52:37,34,60050,60083,34,2,13,8,11
2017-11-05 17:53:26,2017-11-05 17:55:14,109,60132,60240,109,18,37,12,42
2017-11-05 17:55:14,2017-11-05 17:56:05,52,60240,60291,52,21,11,7,13
2017-11-05 17:56:05,2017-11-05 18:08:37,666,60291,60956,666,103,208,152,203
2017-11-05 18:08:37,2017-11-05 18:11:19,84,60956,61039,84,23,22,14,25
2017-11-05 18:12:02,2017-11-05 18:12:37,36,61082,61117,36,19,2,9,6
2017-11-05 18:12:54,2017-11-05 18:13:26,33,61134,61166,33,13,2,16,2
2017-11-05 18:13:26,2017-11-05 18:14:31,66,61166,61231,66,9,18,25,14
2017-11-05 18:14:31,2017-11-05 18:15:39,69,61231,61299,69,44,7,4,14
2017-11-05 18:15:39,2017-11-05 18:16:00,22,61299,61320,22,17,1,0,4
2017-11-05 18:16:54,2017-11-05 18:17:32,39,61363,61401,39,30,3,1,5
2017-11-05 18:17:58,2017-11-05 18:18:28,31,61427,61457,31,22,2,1,6
2017-11-05 18:18:33,2017-11-05 18:18:54,22,61462,61483,22,3,5,8,6
2017-11-05 18:19:27,2017-11-05 18:19:47,21,61516,61536,21,12,4,0,5
2017-11-05 18:19:47,2017-11-05 18:20:12,26,61536,61561,26,3,9,4,10
2017-11-05 18:20:12,2017-11-05 18:20:50,39,61561,61599,39,18,12,3,6
2017-11-05 18:21:14,2017-11-05 18:22:13,60,61622,61681,60,10,24,9,17
2017-11-05 18:22:47,2017-11-05 18:30:23,436,61715,62150,436,9,176,98,153
2017-11-05 18:31:25,2017-11-05 18:32:43,79,62212,62290,79,5,39,16,19
2017-11-05 18:32:43,2017-11-05 18:34:54,132,62290,62421,132,27,46,24,35
2017-11-05 18:34:54,2017-11-05 18:35:19,26,62421,62446,26,6,7,0,13
2017-11-05 18:35:19,2017-11-05 18:36:15,57,62446,62502,57,17,16,5,19
2017-11-05 18:36:15,2017-11-05 18:41:13,299,62502,62800,299,82,91,48,78
2017-11-05 18:41:21,2017-11-05 18:43:08,108,62808,62915,108,45,31,12,20
2017-11-05 18:43:54,2017-11-05 18:44:38,45,62956,63000,45,9,17,8,11
